,1,2,3,4,5,6,7,8,9,10,11,12
V49,17.41877931,14.0069357,3.677932104,3.096345984,3.036637516,41.11764568,5.202542172,12.50311862,2.424242698,8.643898587,2.238017187,7.015708388
V50,52.53594399,22.30037787,6.122186943,3.210507674,5.671019152,23.59793385,36.39823704,48.36822071,1.636589181,23.6426466,21.78276111,239.7740113
V51,29.36279672,16.97030688,4.931867185,6.58663774,5.961050042,20.43515528,29.76614475,21.94192721,2.923275077,12.81432034,8.908445119,5.842940529
V52,92.71852744,12.4437151,16.03001345,9.156230549,18.42873304,38.50053541,13.25962335,90.18365045,33.77181792,18.90740477,30.39051262,17.33949397
V53,41.45351626,18.13087996,4.198123879,20.88536012,2.629444513,15.92056614,5.318038742,10.5673863,4.501519538,5.933797369,4.882276225,5.463788802
V54,2.43859429,20.74452864,2.054889458,21.4130621,23.84876169,36.55011376,15.23045863,48.06641079,12.53109162,15.17853492,24.46054904,7.165122946
V55,2.372857411,29.04363807,6.890650835,7.958675924,7.219035961,17.28229706,52.53058301,6.278923753,2.233541151,18.30377281,6.42389124,4.851277476
V56,34.11966022,23.02823062,5.248626915,2.167860943,4.782770211,26.59740402,30.49187892,18.32052809,15.76080262,10.5340052,3.229397898,3.682266757
V57,9.299135586,10.02443204,156.4264222,23.09241723,81.02830323,14.61351359,14.2803275,32.40942058,52.24790265,11.87942466,7.484501009,4.658627662
V58,211.3692031,69.57824558,864.6545674,158.6122725,372.8158854,48.31981026,110.1212698,85.07709009,3.833314819,15.63067232,4.817988194,32.65176187
V59,16.16728724,24.07748582,1.728014365,2.182194397,3.594538031,15.26635066,36.64214743,12.03353232,6.403222466,12.84259335,13.8564319,4.560461497
V60,5.284719526,10.03612257,14.74550709,11.82914852,3.873232455,11.02027366,5.4448158,53.31997195,2.768789267,1.792287601,3.590650644,12.80858407
V61,311.3224844,14.9940407,65.25215279,26.89849013,24.15822335,11.9385765,4.927880922,18.99199205,86.79576571,32.36275658,18.80391529,8.182389945
V62,71.95144538,21.80414238,8.898308396,15.14508545,2.889082412,19.21996861,8.605494312,18.00704607,4.400290618,26.11228569,11.28110344,10.79482155
V63,9.572605089,22.38782565,1.566833377,4.852670785,0.275370079,12.80578881,37.67992941,6.050766267,5.215243507,6.747760015,5.431419483,4.942167722
V64,67.98106211,13.83375679,2.674795928,11.66915433,18.52108946,11.09610296,21.51243139,42.78740445,28.64365021,3.557018731,6.610980662,7.121029084
V65,639.1661076,1.248014995,15.32869429,164.4781402,7.068845974,25.53243613,5.165231449,46.11556068,43.50531341,33.79675416,49.78129725,4.91321559
V66,278.4628189,0.796861754,200.5203473,257.5359642,0.860604802,4.79516174,1.880221909,0.948660558,171.7836299,1.84036556,73.23099447,3.858088262
V67,614.4020785,14.62570962,4.074445186,316.4853767,51.0129231,20.81276243,2.916161826,4.619876542,353.8772458,77.55892917,8.149898456,72.04257842
V68,76.23526781,20.45367684,4.024736645,88.76422218,3.734611236,76.27713707,13.47308466,149.4639382,10.41861983,25.65713963,82.7557131,31.50371798
V69,40.95538404,44.23287782,2.385163608,102.9841162,14.95233072,19.98904508,54.15430989,36.64276919,1.59925158,71.71536651,13.9315531,389.6760607
V70,91.78157304,6.858519538,3.867903089,57.22380697,2.812319316,6.574647306,2.062239426,4.684348857,16.3923909,8.700252687,10.55423702,3.302955543
V71,7.711105065,16.99043287,0.719844609,5.976848442,22.09208908,16.03810334,7.767241821,6.386313993,1.325507642,1.956211394,1.702165526,2.994435934
V72,72.93251202,1.995190848,29.23926189,27.42840083,0.755401256,1.723944608,1.869903572,3.883697417,34.78453611,3.547447977,1.073311153,4.416026431
V73,24.8226224,5.762892707,1.752692485,12.67094773,5.337085571,47.41580422,3.105639368,141.3935298,3.060227464,6.054916276,69.46459608,9.841446378
V74,22.3543161,24.54758694,3.017858929,16.81899509,19.7795871,3.407492031,8.129804337,13.99519226,5.232581134,20.62566346,20.94685465,25.92243422
V75,6.110557803,14.22104329,4.90615198,4.226847322,13.02797015,11.29131438,6.190540477,14.48906124,2.163642839,11.06204394,17.67710337,8.356701131
V76,8.916545848,21.56972688,4.722652939,18.91473019,6.048442433,5.265302717,12.95232665,3.509762395,3.250447715,11.2092885,6.318119555,8.370178666
V77,1.906168082,15.02686141,13.85130466,14.57622243,6.335548318,5.692383679,2.978897534,7.075177265,2.887756458,13.7009157,14.92737718,9.028782721
V78,2.002233107,10.76840688,0.330212029,3.443012786,0.906993442,4.526246605,3.385370002,5.125241307,0.570347774,2.894961619,2.163355945,2.351261741
V79,10.31027356,11.41199902,3.25972288,7.215111058,5.842881401,19.58921483,11.10799121,10.438664,4.831352856,13.39472876,6.499530533,6.071274873
V80,11.08134452,29.23410074,82.99114664,15.38194462,35.42051675,10.47923547,32.80310806,24.26502292,5.294766082,26.85598205,5.523000165,4.880384694
V81,10.33393882,12.34642067,4.469632132,8.21075266,1.053258497,10.80803904,17.0248116,8.363863233,4.059789855,15.82270827,2.733023621,7.764665219
V82,11.64485311,19.11878016,2.39572496,11.75712752,1.150533376,9.041866498,19.97672998,2.456884865,1.875012223,6.287187776,2.819212221,8.876569124
V83,20.5358733,21.59677141,248.2028948,67.91678184,20.2542155,16.05588554,2.455298085,1.113042613,7.821217271,15.48710734,6.146925734,4.903036536
V84,23.82353404,42.02953787,70.87188231,50.01713214,58.54253163,16.79786436,28.03388495,18.32797584,25.54417188,5.11711487,19.09365079,22.23738861
V85,20.62681333,15.90443739,10.8099896,22.9190647,7.457664155,16.82606852,11.66320075,30.06841066,4.526484852,19.25693939,9.662944989,26.67041028
V86,87.30440341,6.645381273,64.37873371,12.55713769,104.0716801,22.48559648,3.981169036,155.6957217,7.806786808,33.57379414,17.70362953,9.900355867
V87,5.74967754,13.5349391,14.40593615,11.8810773,14.23864211,15.0405785,16.67576116,26.44969674,34.83822157,3.872122429,27.91880784,9.802211355
V88,6.147427518,13.5843939,6.245134213,32.14881412,10.32811359,24.54489553,7.832947991,13.4113433,22.46953271,11.87213183,5.780017356,4.25514615
V89,5.054590866,12.59145202,9.237235217,7.088217143,34.58381456,26.77560329,6.682339692,32.59039012,8.990370335,13.67263072,6.921941768,11.5105344
V90,911.9029639,5.705147078,111.5451042,274.7403542,13.87217214,35.7602266,10.66410916,17.12188943,154.5157553,64.69226604,9.679150276,265.7693845
V91,49.16502532,1.839140647,64.0286938,290.8582927,4.692934796,4.158960771,405.1082812,3.262162215,30.4614893,616.4145515,2.004969807,92.55363828
V92,122.2507504,38.76565706,12.32706707,118.3740182,12.83357597,29.1625723,60.2546688,96.6988634,110.738048,23.64385548,2.007281734,12.27893966
V93,308.1917468,4.296026674,400.4699124,106.4731464,39.0240461,10.80991621,10.43085981,6.7641917,120.9233895,25.60553528,7.755421886,33.40890106
V94,31.80386214,40.23728451,2.222643425,9.601286481,24.37087031,39.27546917,29.51235104,46.91595296,4.708286854,13.53274877,74.31904909,3.128937131
V95,2.359480139,13.66671593,0.901967714,7.076789885,2.045708044,17.50102498,4.995087911,11.41941411,4.683189034,5.421705314,3.244811635,8.737703401
V96,28.46445899,12.09070459,0.67976446,2.782099754,26.86070138,15.34393063,7.573198478,7.164259556,1.552426017,19.0926056,10.2653184,7.317687013
V97,36.31702773,17.24407081,60.08523797,15.00125591,179.0661762,25.97335501,10.99666693,26.07303116,53.85442024,11.73446335,15.60495749,28.63898085
V98,2.732941917,19.59507553,1.258171326,3.365790936,2.070552078,18.75844787,22.52760316,4.288522957,5.339118041,11.05418878,5.698060408,4.60601969
