,1,2,3,4,5,6,7,8,9,10,11,12
V70,69.55722113,7.462629962,5.248615102,3.290351943,53.12738199,9.147620068,5.801060142,9.266429581,24.01064549,6.729889073,17.34186516,7.506072001
V71,8.654194271,1.257598522,15.30944945,16.89844379,7.846027512,15.72539626,2.170310421,6.668644835,3.455060652,5.551396315,6.393965041,3.685563359
V72,57.12077743,29.33311888,1.932856669,2.286057567,10.42102138,3.185759306,2.621299384,1.340232531,68.94506885,5.091748006,1.501619186,5.59444248
V73,10.75171253,1.840405831,10.93347922,6.917334236,16.90877705,47.24759625,13.01084262,120.1794656,3.964569256,75.64185366,4.611232748,7.290652793
V74,6.978642144,6.875649049,24.63839429,16.04006829,25.54908234,2.672077357,27.1602897,18.70084862,4.298116203,17.51686378,28.04551945,27.74955737
V75,3.868575674,6.589722052,16.20472885,10.14959831,3.756405805,9.351707447,19.27057975,12.54836664,4.158201345,10.31363888,11.9306708,15.20913829
V76,3.677480841,6.096043717,24.11501908,4.415329731,20.92783246,2.700282906,9.507704578,1.416753819,7.412974604,3.386200341,14.14148087,14.09694113
V77,1.632871825,16.83163308,17.33085938,4.033122481,14.9077863,4.19866208,4.38868871,2.844448989,5.090007321,7.379446767,19.84504734,7.266305953
V78,4.00819732,0.631973708,10.47379979,0.779405854,2.465092678,3.58523054,7.766477936,4.625836898,1.43111388,2.412565994,4.365046758,4.141898735
V79,4.809030248,3.172210464,14.69440678,5.669988367,7.312385884,17.83000022,4.488531103,8.774321631,11.04426387,4.868530958,10.618943,7.549046799
V80,11.05123068,79.32728916,34.52785805,27.93659139,2.917298725,7.067530928,10.33447218,16.70965068,44.20285853,9.022037658,20.65836387,4.899475417
V81,5.689629178,3.108359916,13.71101979,2.357217745,9.276791188,8.236563975,15.35230767,9.966975164,8.820467827,5.717920596,21.22725316,10.87715931
V82,10.80559751,0.970892623,15.80315585,0.890100408,18.05933682,8.883292977,30.86674602,4.085321959,6.839502077,3.64972789,4.808849546,7.38517684
V83,24.32044697,262.2703724,16.93839963,4.191962716,64.07147035,19.58696658,6.602093469,3.878051994,7.724838081,10.7168433,28.14228144,10.43965292
V84,38.49235239,83.37256979,37.41428427,44.21135577,46.4055012,17.13089292,39.91280521,7.637659908,27.15974267,10.91687781,3.916532872,23.98353055
V85,9.628227153,13.18183215,20.54084888,6.030470491,23.58785336,15.19148854,5.447577887,27.13653731,15.81769618,4.336670031,19.68283892,17.16899008
V86,82.05076688,76.12455325,11.83391536,83.98991707,2.487157018,24.12645671,37.08956983,125.7066765,6.314614158,13.80832273,40.52609359,6.799625809
V87,7.19916354,29.12433161,11.04422954,9.663289537,14.1891326,16.20478215,10.52333519,26.75894026,24.6301842,31.31930834,1.641141498,9.683072748
V88,8.568917851,3.563637834,14.20690762,11.25849459,20.20734186,24.73347824,7.668798745,9.503635864,52.19502812,7.527784263,7.923007937,5.155464158
V89,12.13563789,14.13490585,10.72657625,28.25265648,5.635570613,26.98300749,3.87116838,29.69494147,6.705592782,12.31129362,18.58242818,9.407507205
V90,690.9434235,130.9426939,12.18335193,20.3962901,196.4629297,45.56529441,10.64525938,13.9738781,257.4543832,10.60380967,86.41585878,301.7205474
V91,75.5609927,102.4130162,3.561626445,23.58502908,231.3603273,4.520900228,355.0679915,5.504810221,3.448624045,15.01917454,1193.195349,12.15786142
V92,96.99039646,60.76625343,36.4497986,4.670347538,102.3247956,32.36114438,16.85217197,98.30452932,87.17125135,22.53327403,49.45609615,19.81577877
V93,228.6253619,457.3564828,11.46202502,15.33966269,67.23502823,11.99841833,44.87592768,2.229790553,114.7108747,3.919327747,18.54040584,22.979956
V94,6.474413339,2.303517355,43.66694629,20.09609457,27.02270307,34.12597896,16.9466925,51.28197263,12.52734638,68.9198007,5.496631211,9.256894531
V95,2.682978599,2.12748908,13.56868792,1.54012341,11.38813491,16.24602849,9.175205132,10.8420278,3.250438511,2.777537812,1.540481134,8.751077087
V96,20.09853961,0.723122932,13.06971525,23.90081955,4.369485871,15.79804719,2.647901833,7.5272755,4.900009277,13.95657042,24.18202893,7.843951959
V97,35.82686512,106.2487905,16.85716122,134.6353625,8.069681088,26.40412563,3.106737218,21.29840457,10.24643935,19.45065128,12.60129284,29.79678333
V98,10.07883356,2.02788143,16.80676352,1.582805329,3.996510323,19.81525389,12.86638737,8.062444288,6.654383958,13.58085878,10.77196175,9.448189354
V99,126.3997701,7.496957207,5.477904774,2.461160938,104.2598447,7.206315723,3.042084841,26.78300095,10.44222346,37.62641264,19.4807894,13.94350705
V100,8.15099918,3.309337944,16.82389557,1.314073633,23.05255173,10.35106036,7.963984184,10.47360916,4.133066193,31.8639983,19.12088253,17.19720939
V101,2.610744277,5.587342397,21.61807674,2.104557529,3.582738745,15.21205414,29.98560223,8.463189079,1.709675136,2.074838307,14.65335795,5.642582764
V102,40.25884952,241.1881646,23.11462842,50.86623602,32.97619239,39.37203427,13.01566132,15.44853982,66.00893451,5.103087234,18.00552262,34.64442956
V103,2.930920544,2.310689114,11.89478609,4.504759374,8.200173093,7.280096473,4.836049861,1.994060676,3.759620306,3.578973121,1.325500018,4.62229318
V104,19.13950297,2.183282848,15.66663494,2.231037691,9.350184692,15.33171172,8.183286205,2.902276867,7.588360285,17.10769078,11.61048022,9.406846949
